ds,yhat
2024-01-01,4.500000007
2024-01-02,4.700000007332
2024-01-03,4.9000000076640005
2024-01-04,5.100000007996
2024-01-05,5.3000000083279994
2024-01-06,5.500000008660001
2024-01-07,5.700000008992
2024-01-08,5.900000009324001
2024-01-09,6.100000009656
2024-01-10,6.3000000099880005
2024-01-11,6.500000010320001
2024-01-12,6.700000010652
2024-01-13,6.900000010984
2024-01-14,7.100000011316001
2024-01-15,7.300000011648001
2024-01-16,7.50000001198
2024-01-17,7.7000000123120005
2024-01-18,7.900000012644001
2024-01-19,8.100000012976
2024-01-20,8.300000013308
2024-01-21,8.500000013640001
2024-01-22,8.700000013972
2024-01-23,8.900000014304
2024-01-24,9.100000014636
2024-01-25,9.300000014968
2024-01-26,9.500000015300001
2024-01-27,9.700000015632
2024-01-28,9.900000015964
2024-01-29,10.100000016296
2024-01-30,10.300000016628
2024-01-31,10.50000001696
2024-02-01,10.700000017292002
